name,age,gender,education,income,country,purchase_frequency,annual_spending,cluster
Teresa Williams MD,42,Female,High School,53936,Slovenia,0.9,13227.12,0
Christine Myers,49,Female,Master,82468,Aruba,0.6,12674.04,0
Dwayne Moreno,55,Male,Bachelor,56941,Cyprus,0.3,5354.115,1
Amy Norton,24,Female,Bachelor,60651,Palau,0.2,2606.51,1
Tonya Adams,64,Male,Master,81884,Zambia,0.9,18984.78,0
Charles Smith,24,Female,PhD,61444,Libyan Arab Jamahiriya,1.0,18072.2,0
Misty Moody,58,Male,PhD,78024,Italy,0.9,21511.08,0
Brian Kent,34,Male,High School,32225,Pakistan,0.7,6727.875,1
Stacie Ray,63,Male,PhD,63664,Venezuela,0.4,9273.28,1
Brian Townsend,64,Female,High School,45043,San Marino,1.0,16252.15,0
Samantha Bailey,32,Male,Bachelor,91170,Christmas Island,0.8,12446.8,0
Christopher Wright,23,Male,Master,86576,South Africa,0.8,11463.04,0
John Harrington,24,Female,Master,36359,Nicaragua,0.9,12436.155,0
Gregory Franklin,39,Male,Master,78325,Greenland,0.2,3783.25,1
Jordan Garrett,56,Female,Master,95451,Indonesia,0.4,9509.02,1
Barbara Fuller,36,Male,Bachelor,44475,Australia,0.1,1522.375,1
Eric Rogers,57,Female,PhD,29055,India,0.2,4690.55,1
Christopher Fleming,61,Male,Bachelor,25064,Mali,0.2,3250.64,1
Sandra Wheeler,62,Female,Master,88392,Sri Lanka,0.4,9367.84,1
Elizabeth Guzman,31,Female,Master,79056,Egypt,0.8,15162.24,0
Kathleen Mata,60,Female,High School,62509,United Arab Emirates,1.0,17125.45,0
Jack Perry,25,Female,Master,44953,Nauru,0.4,5699.06,1
Tyler Silva,19,Female,High School,48896,Armenia,0.6,5666.88,1
Joy Carter,28,Female,PhD,28151,Iran,0.2,3881.51,1
Jody Collins,27,Male,High School,95217,Faroe Islands,0.9,11484.765,0
Elizabeth Brown,56,Male,High School,36311,United States of America,0.4,5526.22,1
Mrs. Brandy Tate,56,Male,PhD,31997,Svalbard & Jan Mayen Islands,0.6,12959.91,0
Janet Miller,25,Male,High School,45505,Ethiopia,0.3,2182.575,1
Mary Smith,63,Male,PhD,47600,Albania,0.1,2238.0,1
Denise Martin,61,Male,PhD,33303,El Salvador,0.5,10832.575,0
Michael Brown,22,Male,High School,59460,Chad,0.6,4783.8,1
Craig Thomas,45,Male,High School,86012,Palau,0.8,11440.48,0
Ashley Cain,20,Male,PhD,46129,Anguilla,0.5,7653.225,1
Carolyn Wilson,40,Female,Bachelor,46661,Cocos (Keeling) Islands,0.1,1733.305,1
Allison Chen,61,Male,Bachelor,64867,Cook Islands,0.9,16419.015,0
Crystal Jacobson,34,Male,PhD,42913,Philippines,0.1,1814.565,1
Rhonda Gordon,48,Female,Master,66812,Comoros,0.7,14238.42,0
Jenna Cowan,60,Female,Bachelor,93478,Maldives,0.1,2167.39,1
Taylor Yang,47,Male,Master,25989,Palau,0.9,14669.505,0
Judy Moses,35,Male,Bachelor,83154,Holy See (Vatican City State),0.6,9094.62,0
Eric Farmer,57,Female,Master,97368,Cook Islands,1.0,23868.4,0
Meghan Hansen,26,Female,PhD,74318,United States Minor Outlying Islands,0.2,4343.18,1
Susan Jones,18,Male,Master,40981,Equatorial Guinea,0.4,4819.62,1
Mr. Anthony Powell Jr.,32,Female,PhD,94468,Estonia,0.7,15906.38,0
Tony Hayes,20,Female,PhD,26131,Reunion,0.3,4891.965,1
Brianna Price MD,46,Male,Master,40668,Turkey,0.8,13626.72,0
Kelly Guerrero,51,Female,High School,25100,Kazakhstan,0.8,12204.0,0
Kendra Cook,38,Female,PhD,26534,El Salvador,0.7,14928.69,0
Anthony Simpson,30,Male,Bachelor,21930,Cambodia,0.7,8467.55,1
Nicole Simpson,61,Female,Master,20444,Bermuda,0.4,8008.88,1
Sydney Smith,18,Male,High School,44963,Maldives,0.2,1449.63,1
